B U S      1
 [0,  1,  0,  0]  0 -20.0  [1,  2,  0,  0.0] 
 [1,  2,  0,  0.0]  1 -14.0  [0,  0,  2,  1.54] 
 [0,  0,  2,  1.54]  0 -25.974025974025974  [1,  2,  2,  1.59] 
 [1,  2,  2,  1.59]  3 -60.867005917126605  [0,  2,  0,  4.74] 
 [0,  2,  0,  4.74]  1 -30.850817473798813  [1,  0,  2,  3.4] 
 [1,  0,  2,  3.4]  0 -11.764705882352942  [0,  0,  0,  4.36] 
 [0,  0,  0,  4.36]  0 0  [1,  1,  2,  7.52] 
 [1,  1,  2,  7.52]  0 -7.97872340425532  [0,  0,  1,  6.89] 
 [0,  0,  1,  6.89]  2 -59.794009935809655  [1,  0,  2,  5.82] 
 [1,  0,  2,  5.82]  2 -62.32923751043454  [0,  0,  0,  6.03] 
 [0,  0,  0,  6.03]  0 0  [1,  2,  0,  3.35] 
 [1,  2,  0,  3.35]  1 -14.0  [0,  0,  0,  0.0] 
- - - - - - - - -
B U S      2
 [1,  0,  0,  0]  0 0  [0,  1,  1,  0.0] 
 [0,  1,  1,  0.0]  0 -40.0  [1,  1,  0,  0.0] 
 [1,  1,  0,  0.0]  1 -14.0  [0,  0,  0,  0.0] 
 [0,  0,  0,  0.0]  0 0  [1,  0,  0,  0.0] 
 [1,  0,  0,  0.0]  0 0  [0,  0,  1,  0.0] 
 [0,  0,  1,  0.0]  0 -20.0  [1,  0,  1,  0.0] 
 [1,  0,  1,  0.0]  0 -20.0  [0,  1,  1,  0.0] 
 [0,  1,  1,  0.0]  2 -34.0  [1,  0,  2,  0.0] 
 [1,  0,  2,  0.0]  0 -40.0  [0,  0,  1,  0.0] 
 [0,  0,  1,  0.0]  2 -14.0  [1,  0,  0,  0.0] 
 [1,  0,  0,  0.0]  0 0  [0,  0,  0,  0.0] 
 [0,  0,  0,  0.0]  0 0  [1,  0,  0,  0.0] 
- - - - - - - - -
